iter	RMSE
0	2.720548453
1	2.694132526
2	2.665962781
3	2.642241506
4	2.62244599
5	2.600649233
6	2.579687656
7	2.552523406
8	2.532397801
9	2.505681253
10	2.485061637
11	2.46683253
12	2.448770931
13	2.419522373
14	2.399798866
15	2.37948966
16	2.359919906
17	2.338702652
18	2.313971843
19	2.291201055
20	2.273754042
21	2.251255765
22	2.235854947
23	2.218353411
24	2.203470066
25	2.184484138
26	2.169216631
27	2.14886893
28	2.128917727
29	2.114027822
30	2.099416389
31	2.091025094
32	2.078846023
33	2.058697654
34	2.038258133
35	2.018806474
36	1.997759806
37	1.981053234
38	1.965194358
39	1.948816586
40	1.935581118
41	1.917987593
42	1.905417901
43	1.889406833
44	1.874866473
45	1.861003861
46	1.844352059
47	1.823538848
48	1.812123053
49	1.795066675
50	1.780182169
51	1.767495056
52	1.75235765
53	1.739457307
54	1.723484894
55	1.706710813
56	1.690889319
57	1.675855646
58	1.660674238
59	1.647618507
60	1.635099101
61	1.621909677
62	1.609620956
63	1.59916655
64	1.59017611
65	1.580881161
66	1.569336886
67	1.558039503
68	1.546879195
69	1.532234119
70	1.518550263
71	1.507253369
72	1.496695354
73	1.487942866
74	1.476409462
75	1.465616052
76	1.455057498
77	1.44296708
78	1.429826279
79	1.41974668
80	1.409456426
81	1.397457911
82	1.388393198
83	1.378229855
84	1.366877086
85	1.35789815
86	1.348325218
87	1.341262764
88	1.332426051
89	1.321842196
90	1.311609427
91	1.30136676
92	1.29288076
93	1.283555061
94	1.274734646
95	1.266646838
96	1.256044394
97	1.24709217
98	1.237743899
99	1.230171332
100	1.222258795
101	1.215322426
102	1.206525381
103	1.199850954
104	1.191762579
105	1.181346426
106	1.174714331
107	1.165924876
108	1.158899684
109	1.155144167
110	1.144890143
111	1.139498457
112	1.131987531
113	1.125690542
114	1.118390562
115	1.113385794
116	1.107535431
117	1.099983842
118	1.095151867
119	1.090218555
120	1.085575948
121	1.078250547
122	1.069744163
123	1.064194254
124	1.05880538
125	1.05212947
126	1.045333516
127	1.038221244
128	1.03178127
129	1.025456048
130	1.017386344
131	1.011233174
132	1.003295287
133	0.9988004203
134	0.991259183
135	0.985552894
136	0.9826004845
137	0.9763826175
138	0.9675159782
139	0.9597410543
140	0.9534439273
141	0.9475512675
142	0.9403686879
143	0.9352489275
144	0.9288031078
145	0.9230362005
146	0.9184094146
147	0.9119617162
148	0.9070000136
149	0.9024889187
150	0.9013939037
151	0.8965030031
152	0.8912640457
153	0.8865312283
154	0.8815965524
155	0.8758761069
156	0.8731888725
157	0.8700777917
158	0.8632749945
159	0.8570227759
160	0.8509619379
161	0.8477605183
162	0.8423093773
163	0.8369026126
164	0.8312505838
165	0.8252839369
166	0.819747486
167	0.8144923156
168	0.8088333023
169	0.8037095467
170	0.8005175594
171	0.7975637386
172	0.7938281238
173	0.7884839504
174	0.78348888
175	0.7784019057
176	0.7747173146
177	0.7696768673
178	0.7659458239
179	0.760855627
180	0.756588947
181	0.7514675237
182	0.7468763344
183	0.741581273
184	0.7386262233
185	0.7341394915
186	0.7293541795
187	0.7241985116
188	0.7215936293
189	0.7178417645
190	0.7132823145
191	0.7098593249
192	0.7071647344
193	0.7054845821
194	0.7012562214
195	0.6971713518
196	0.694815285
197	0.6902237708
198	0.6861141064
199	0.6815513809
200	0.6774701245
201	0.6733501231
202	0.6688357144
203	0.6649493154
204	0.6608035714
205	0.6577545713
206	0.6538812252
207	0.6514941839
208	0.6474949116
209	0.6453968912
210	0.6442074492
211	0.6422324037
212	0.6379562306
213	0.6360399508
214	0.634886761
215	0.631252193
216	0.6275602322
217	0.6240837299
218	0.6204946073
219	0.6165918497
220	0.6150392692
221	0.6111750638
222	0.6073269155
223	0.6040166846
224	0.6020209723
225	0.5986587466
226	0.5951814994
227	0.5914308796
228	0.5878636989
229	0.5867378452
230	0.5857540315
231	0.5829123686
232	0.5793798766
233	0.5778402242
234	0.5749412626
235	0.5713108255
236	0.5699338593
237	0.5689752784
238	0.5653006296
239	0.5615547578
240	0.5605843782
241	0.5570831909
242	0.5551767153
243	0.5517340672
244	0.5482946073
245	0.5445822795
246	0.5412988489
247	0.537638269
248	0.5359182855
249	0.5340162907
250	0.5330792456
251	0.5300793197
252	0.5287726448
253	0.5253292978
254	0.5236371148
255	0.5202606925
256	0.51861805
257	0.5170592241
258	0.5153453445
259	0.5144666776
260	0.5114669221
261	0.5077937675
262	0.5044954318
263	0.5036610776
264	0.5021053288
265	0.4995714595
266	0.4979367775
267	0.4950812453
268	0.4937947389
269	0.4908733419
270	0.489990093
271	0.4876650351
272	0.4860612079
273	0.4852191574
274	0.4835301223
275	0.4819293765
276	0.4790610154
277	0.4761177809
278	0.4731417045
279	0.4703040294
280	0.4689904967
281	0.4659933902
282	0.4646420809
