iter	Passed	Remaining
0	0	394
1	0	347
2	0	314
3	1	306
4	1	303
5	1	299
6	2	299
7	2	300
8	2	303
9	3	301
10	3	300
11	3	298
12	3	296
13	4	292
14	4	282
15	4	277
16	4	278
17	5	278
18	5	276
19	5	278
20	5	279
21	6	278
22	6	278
23	6	278
24	7	278
25	7	277
26	7	277
27	7	277
28	8	275
29	8	276
30	8	276
31	9	273
32	9	273
33	9	273
34	9	272
35	10	273
36	10	273
37	10	273
38	11	273
39	11	272
40	11	272
41	11	272
42	12	272
43	12	272
44	12	272
45	13	271
46	13	272
47	13	273
48	14	273
49	14	272
50	14	273
51	14	271
52	15	273
53	15	273
54	15	273
55	16	274
56	16	274
57	16	274
58	17	273
59	17	273
60	17	273
61	18	272
62	18	272
63	18	272
64	18	270
65	19	270
66	19	270
67	19	270
68	20	270
69	20	269
70	20	269
71	20	268
72	21	268
73	21	268
74	21	267
75	22	267
76	22	267
77	22	266
78	22	266
79	23	266
80	23	265
81	23	265
82	23	265
83	24	264
84	24	264
85	24	264
86	25	264
87	25	263
88	25	263
89	26	263
90	26	262
91	26	262
92	26	262
93	27	261
94	27	260
95	27	260
96	28	266
97	29	271
98	30	276
99	30	275
100	30	275
101	31	274
102	31	274
103	31	273
104	32	273
105	32	272
106	32	272
107	32	271
108	33	272
109	33	272
110	34	272
111	34	270
112	34	270
113	34	269
114	34	268
115	35	268
116	35	267
117	35	267
118	36	266
119	36	265
120	36	265
121	36	264
122	37	264
123	37	263
124	37	263
125	37	263
126	38	262
127	38	262
128	38	262
129	39	261
130	39	261
131	39	260
132	39	260
133	40	259
134	40	259
135	40	259
136	40	257
137	41	257
138	41	256
139	41	256
140	41	255
141	42	255
142	43	259
143	44	264
144	44	264
145	45	263
146	45	262
147	45	262
148	45	262
149	46	261
150	46	260
151	46	260
152	46	259
153	47	261
154	47	261
155	48	260
156	48	259
157	48	259
158	48	259
159	49	258
160	49	258
161	49	257
162	50	256
163	50	256
164	50	256
165	50	255
166	51	255
167	51	254
168	51	255
169	52	254
170	52	254
171	52	253
172	52	253
173	53	252
174	53	252
175	53	252
176	54	251
177	54	251
178	54	251
179	55	250
180	55	250
181	55	249
182	55	249
183	56	249
184	56	248
185	56	248
186	57	251
187	58	254
188	59	254
189	59	254
190	60	254
191	60	253
192	60	253
193	60	252
194	61	252
195	61	253
196	62	252
197	62	252
198	62	252
199	62	251
200	63	251
201	63	250
202	63	250
203	64	249
204	64	249
205	64	249
206	64	248
207	65	248
208	65	247
209	65	248
210	66	247
211	66	247
212	66	246
213	67	246
214	67	245
215	67	245
216	67	244
217	68	244
218	68	243
219	68	243
220	68	243
221	69	242
222	69	242
223	69	242
224	70	241
225	70	241
226	70	240
227	71	240
228	71	240
229	72	242
230	73	243
231	73	244
232	74	244
233	74	243
234	74	243
235	75	242
236	75	244
237	76	243
238	76	243
239	76	242
240	76	242
241	77	241
242	77	241
243	77	240
244	77	240
245	78	239
246	78	239
247	78	239
248	79	241
249	80	241
250	80	240
251	80	240
252	81	239
253	81	239
254	81	239
255	82	238
256	82	238
257	82	237
258	82	237
259	83	236
260	83	236
261	83	235
262	84	235
263	84	234
264	84	234
265	84	233
266	85	233
267	85	233
268	85	232
269	86	234
270	87	235
271	88	236
272	88	236
273	88	235
274	89	235
275	89	236
276	90	235
277	90	235
278	90	234
279	91	234
280	91	233
281	91	233
282	91	233
283	92	232
284	92	232
285	92	231
286	93	231
287	93	230
288	93	230
289	94	230
290	94	231
291	95	231
292	95	230
293	95	230
294	96	229
295	96	229
296	96	228
297	96	228
298	97	228
299	97	227
300	97	227
301	98	226
302	98	226
303	98	225
304	98	225
305	99	225
306	99	224
307	99	224
308	100	224
309	100	224
310	101	225
311	102	226
312	103	226
313	103	226
314	104	226
315	104	226
316	104	225
317	105	225
318	105	224
319	105	224
320	105	224
321	106	223
322	106	223
323	106	222
324	107	222
325	107	222
326	107	221
327	107	221
328	108	220
329	108	220
330	108	220
331	109	219
332	109	219
333	109	218
334	110	218
335	110	218
336	110	217
337	110	217
338	111	216
339	111	216
340	111	216
341	112	215
342	112	215
343	112	214
344	112	214
345	113	214
346	113	213
347	113	213
348	114	213
349	114	213
350	115	213
351	115	212
352	116	213
353	116	213
354	117	214
355	118	214
356	118	213
357	118	213
358	119	212
359	119	212
360	119	211
361	120	211
362	120	211
363	120	210
364	120	210
365	121	209
366	121	209
367	121	209
368	122	208
369	122	208
370	122	207
371	122	207
372	123	207
373	123	206
374	123	206
375	124	205
376	124	205
377	124	205
378	124	204
379	125	204
380	125	203
381	125	203
382	126	203
383	126	202
384	126	202
385	126	201
386	127	201
387	127	201
388	127	200
389	128	201
390	128	200
391	129	200
392	129	199
393	129	199
394	129	199
395	130	198
396	131	199
397	132	200
398	132	200
399	133	199
400	133	199
401	133	198
402	133	198
403	134	198
404	134	197
405	134	197
406	135	196
407	135	196
408	135	196
409	135	195
410	136	195
411	136	194
412	136	194
413	137	194
414	137	193
415	137	193
416	137	192
417	138	192
418	138	192
419	138	191
420	139	191
421	139	190
422	139	190
423	139	190
424	140	189
425	140	189
426	140	188
427	141	188
428	141	188
429	141	187
430	142	187
431	142	187
432	142	186
433	142	186
434	143	185
435	143	185
436	143	185
437	143	184
438	144	184
439	144	183
440	144	183
441	145	184
442	147	184
443	147	184
444	147	184
445	147	183
446	148	183
447	148	182
448	148	182
449	149	182
450	149	181
451	149	181
452	149	180
453	150	180
454	150	180
455	150	179
456	151	179
457	151	179
458	151	178
459	151	178
460	152	177
461	152	177
462	152	177
463	153	176
464	153	176
465	153	176
466	153	175
467	154	175
468	154	174
469	154	174
470	155	174
471	155	173
472	155	173
473	155	173
474	156	173
475	157	172
476	157	172
477	157	172
478	157	171
479	158	171
480	158	170
481	158	170
482	159	170
483	159	169
484	159	169
485	160	170
486	161	170
487	162	170
488	162	169
489	162	169
490	162	168
491	163	168
492	163	168
493	163	167
494	164	167
495	164	167
496	164	166
497	165	166
498	165	166
499	165	165
500	165	165
501	166	164
502	166	164
503	166	164
504	167	163
505	167	163
506	167	163
507	167	162
508	168	162
509	168	161
510	168	161
511	169	161
512	169	160
513	169	160
514	169	160
515	170	159
516	170	159
517	170	158
518	171	158
519	171	158
520	171	157
521	171	157
522	172	157
523	172	156
524	172	156
525	173	155
526	173	155
527	173	155
528	173	154
529	174	154
530	174	154
531	174	153
532	175	153
533	175	153
534	175	152
535	176	152
536	176	152
537	176	151
538	176	151
539	177	151
540	177	150
541	177	150
542	178	149
543	178	149
544	178	149
545	179	148
546	179	148
547	179	148
548	180	147
549	180	147
550	180	147
551	180	146
552	181	146
553	181	146
554	181	145
555	182	145
556	182	145
557	182	144
558	182	144
559	183	143
560	183	143
561	183	143
562	184	142
563	184	142
564	184	142
565	184	141
566	185	141
567	185	141
568	185	140
569	186	140
570	186	140
571	186	139
572	186	139
573	187	138
574	187	138
575	187	138
576	188	137
577	188	137
578	188	137
579	189	136
580	189	136
581	189	136
582	190	135
583	190	135
584	190	135
585	190	134
586	191	134
587	191	134
588	191	133
589	192	133
590	192	133
591	192	132
592	192	132
593	193	132
594	193	131
595	193	131
596	194	131
597	194	130
598	194	130
599	194	129
600	195	129
601	195	129
602	195	128
603	196	128
604	196	128
605	196	127
606	196	127
607	197	127
608	197	126
609	197	126
610	198	126
611	198	125
612	198	125
613	198	125
614	199	124
615	199	124
616	199	124
617	200	123
618	200	123
619	200	122
620	200	122
621	201	122
622	201	121
623	201	121
624	202	121
625	202	120
626	202	120
627	202	120
628	203	119
629	203	119
630	203	119
631	204	118
632	204	118
633	204	118
634	204	117
635	205	117
636	205	117
637	205	116
638	206	116
639	206	116
640	206	115
641	207	115
642	207	115
643	207	114
644	207	114
645	208	114
646	208	113
647	208	113
648	209	113
649	209	112
650	209	112
651	209	112
652	210	111
653	210	111
654	210	110
655	211	110
656	211	110
657	211	109
658	211	109
659	212	109
660	212	108
661	212	108
662	213	108
663	213	107
664	213	107
665	213	107
666	214	106
667	214	106
668	214	106
669	215	105
670	215	105
671	215	105
672	215	104
673	216	104
674	216	104
675	216	103
676	217	103
677	217	103
678	217	102
679	217	102
680	218	102
681	218	101
682	218	101
683	219	101
684	219	100
685	219	100
686	220	100
687	220	99
688	220	99
689	220	99
690	221	98
691	221	98
692	221	98
693	222	97
694	222	97
695	222	97
696	222	96
697	223	96
698	223	96
699	223	95
700	224	95
701	224	95
702	224	94
703	224	94
704	225	94
705	225	93
706	225	93
707	227	93
708	227	93
709	227	93
710	228	92
711	228	92
712	228	92
713	228	91
714	229	91
715	229	91
716	229	90
717	230	90
718	230	90
719	230	89
720	230	89
721	231	89
722	231	88
723	231	88
724	232	88
725	232	87
726	232	87
727	233	87
728	233	86
729	233	86
730	234	86
731	234	85
732	234	85
733	235	85
734	235	84
735	235	84
736	235	84
737	236	83
738	236	83
739	236	83
740	237	82
741	237	82
742	237	82
743	237	81
744	238	81
745	238	81
746	238	80
747	239	80
748	239	80
749	239	79
750	239	79
751	240	79
752	240	78
753	240	78
754	241	78
755	241	77
756	241	77
757	241	77
758	242	76
759	242	76
760	242	76
761	243	75
762	243	75
763	243	75
764	244	74
765	244	74
766	244	74
767	244	73
768	245	73
769	245	73
770	245	72
771	246	72
772	246	72
773	246	71
774	247	71
775	248	71
776	249	71
777	250	71
778	251	71
779	252	71
780	253	71
781	254	71
782	256	70
783	257	70
784	258	70
785	258	70
786	258	70
787	259	69
788	260	69
789	260	69
790	260	68
791	261	68
792	261	68
793	261	67
794	262	67
795	263	67
796	265	67
797	266	67
798	267	67
799	268	67
800	269	66
801	270	66
802	271	66
803	272	66
804	273	66
805	273	65
806	274	65
807	275	65
808	275	65
809	275	64
810	276	64
811	276	63
812	276	63
813	277	63
814	278	63
815	279	63
816	280	62
817	281	62
818	282	62
819	283	62
820	285	62
821	286	62
822	287	61
823	288	61
824	288	61
825	288	60
826	289	60
827	289	60
828	289	59
829	290	59
830	290	59
831	290	58
832	291	58
833	291	57
834	291	57
835	291	57
836	292	56
837	293	56
838	294	56
839	295	56
